,home_team_goal,away_team_goal,odds-home,odds-draw,odds-away,home-wins,home-draws,home-losses,home-goals,home-opposition-goals,home-shots,home-shots_on_target,home-possession,home-opposition_shots,home-opposition_shots_on_target,home-opposition_possession,away-wins,away-draws,away-losses,away-goals,away-opposition-goals,away-shots,away-shots_on_target,away-possession,away-opposition_shots,away-opposition_shots_on_target,away-opposition_possession
1757,2,2,3.25,3.0,2.38,2,1,7,9,16,88,40,420,148,66,490,3,5,2,11,10,121,56,481,119,54,429
1758,3,1,1.53,4.0,6.0,3,4,3,14,15,113,52,455,94,45,454,1,3,6,7,13,67,30,343,133,67,567
1759,2,3,2.5,3.25,2.8,1,3,6,7,17,98,47,399,129,64,511,3,3,4,13,14,102,51,453,113,51,457
1760,1,2,1.91,3.4,4.0,5,0,5,12,14,95,46,455,119,60,455,2,5,3,11,15,75,33,379,113,54,531
1761,1,3,2.9,3.3,2.4,1,3,6,12,27,97,41,401,132,66,508,4,2,4,14,10,112,49,451,109,46,459
1762,1,1,2.8,3.4,2.4,3,2,5,8,13,100,42,450,137,57,460,2,4,4,11,19,105,58,456,96,51,453
1763,2,0,1.44,4.33,7.5,7,0,3,25,13,153,70,495,110,47,415,4,4,2,14,9,120,69,457,116,52,453
1764,2,3,2.2,3.2,3.5,2,2,6,9,20,99,52,423,134,68,487,2,5,3,14,19,146,87,421,114,58,487
1765,3,2,1.73,3.6,5.0,3,5,2,11,11,162,83,460,131,66,450,3,2,5,11,13,93,35,398,139,79,512
1766,0,3,2.6,3.25,2.8,3,2,5,15,19,100,46,451,135,74,459,4,4,2,19,16,130,78,482,113,57,428
1767,1,1,2.0,3.3,4.0,2,3,5,13,17,102,52,423,135,73,487,3,3,4,10,17,100,47,436,151,82,473
1768,3,0,2.2,3.25,3.4,3,2,5,10,15,137,65,454,116,57,455,3,3,4,16,20,119,58,422,152,83,488
1769,1,0,1.2,6.0,17.0,6,2,2,18,7,195,89,501,82,41,409,2,4,4,11,18,116,55,459,129,68,450
1770,2,4,1.73,3.75,4.5,3,1,6,18,18,108,54,422,117,54,488,1,1,8,5,19,108,54,408,122,64,502
1771,1,1,3.1,3.5,2.2,4,2,4,10,12,106,56,493,97,46,416,5,3,2,14,6,138,64,471,81,32,438
1772,1,2,2.2,3.2,3.4,7,0,3,23,11,120,61,462,102,51,448,4,2,4,18,18,102,51,490,112,51,419
1773,2,0,1.44,4.0,8.0,7,1,2,20,11,132,78,529,132,69,380,2,5,3,11,9,111,50,400,110,56,510
1774,2,2,2.6,3.2,2.75,3,1,6,6,16,93,40,419,92,38,490,3,4,3,14,14,120,56,464,94,44,445
1775,3,1,1.11,8.5,21.0,8,2,0,18,4,132,70,627,61,28,283,1,3,6,13,22,104,48,425,129,61,484
1776,0,3,4.5,3.75,1.73,5,1,4,16,10,110,48,448,116,52,462,8,1,1,22,4,182,91,554,75,38,355
1777,1,0,1.83,3.6,4.33,3,4,3,16,15,111,59,459,145,71,451,2,5,3,14,15,119,59,491,116,66,419
1778,1,3,8.5,5.0,1.36,1,2,7,14,27,111,51,427,155,77,483,5,5,0,17,7,155,85,508,68,35,401
1779,2,1,1.2,6.0,15.0,6,3,1,21,11,106,59,491,82,41,418,3,2,5,8,17,102,52,392,112,58,518
1780,5,1,2.25,3.4,3.1,1,1,8,9,23,104,55,392,121,56,517,6,2,2,19,9,108,55,403,120,56,507
1781,2,0,1.75,3.4,5.0,4,2,4,12,11,92,56,459,97,50,451,4,2,4,15,18,100,43,450,119,58,460
1782,0,2,5.5,3.5,1.67,4,1,5,11,17,103,48,470,108,57,440,7,2,1,19,7,102,54,509,90,40,401
1783,1,2,4.0,3.4,1.91,3,5,2,13,12,123,58,476,123,55,434,5,4,1,16,5,150,78,533,97,46,377
1784,3,2,1.57,3.6,6.5,5,2,3,14,11,112,50,471,95,44,439,4,2,4,13,14,133,59,419,116,64,491
1785,1,2,2.1,2.1,6.0,1,2,7,5,15,103,42,417,103,48,493,2,3,5,10,13,86,45,363,115,50,546
1786,2,2,2.1,2.1,6.0,3,0,7,8,23,129,67,454,129,62,456,2,2,6,11,17,91,40,414,144,66,496
1787,5,0,1.91,3.4,4.0,5,2,3,15,14,96,40,540,99,48,370,3,3,4,8,10,95,49,446,102,49,464
1788,3,0,1.53,4.0,6.0,3,3,4,13,16,102,52,446,109,48,464,4,0,6,13,17,101,44,426,149,62,484
1789,3,0,2.6,3.2,2.8,6,2,2,17,9,135,79,472,123,61,438,4,3,3,17,11,114,64,452,118,59,458
1790,2,1,2.1,3.3,3.5,1,3,6,8,14,76,32,355,133,66,555,4,3,3,19,16,108,48,440,109,59,470
1791,1,0,1.91,3.6,3.75,4,1,5,16,16,89,41,459,118,56,451,2,1,7,13,20,102,53,409,120,57,500
1792,1,3,2.3,3.5,3.0,1,2,7,14,28,108,47,423,156,75,487,2,3,5,10,18,122,59,453,134,71,456
1793,1,2,2.25,3.3,3.25,3,3,4,16,18,122,59,424,163,86,486,4,3,3,16,14,107,60,458,137,67,452
1794,2,0,1.67,3.75,5.5,5,3,2,20,14,130,77,480,109,50,430,1,4,5,11,17,112,54,420,129,71,490
1795,2,0,2.25,3.2,3.4,3,3,4,10,17,89,40,434,152,84,475,1,2,7,10,23,93,48,430,130,67,480
1796,1,3,5.5,3.6,1.7,3,5,2,17,18,138,85,428,108,54,481,7,2,1,19,6,193,88,506,91,46,404
1797,1,1,2.1,3.4,3.4,2,5,3,12,14,115,65,442,99,52,467,3,1,6,7,11,81,35,431,125,61,478
1798,2,0,4.5,3.5,1.8,3,2,5,13,19,101,44,435,121,56,474,7,1,2,19,11,135,79,533,132,66,376
1799,2,3,1.44,4.33,7.0,4,2,4,17,19,99,49,495,109,51,414,2,1,7,9,25,105,53,442,135,64,468
