,home_team_goal,away_team_goal,odds-home,odds-draw,odds-away,home-wins,home-draws,home-losses,home-goals,home-opposition-goals,home-shots,home-shots_on_target,home-opposition_shots,home-opposition_shots_on_target,away-wins,away-draws,away-losses,away-goals,away-opposition-goals,away-shots,away-shots_on_target,away-opposition_shots,away-opposition_shots_on_target
6550,1,0,1.67,3.75,5.5,4,3,3,17,13,109,56,70,36,2,4,4,12,13,81,40,130,64
6551,2,1,1.95,3.3,4.33,2,6,2,9,10,73,37,110,53,2,3,5,9,18,102,44,185,95
6552,1,1,1.3,5.25,11.0,4,3,3,13,15,109,50,75,40,2,4,4,12,18,119,56,125,59
6553,0,0,4.0,3.25,2.05,3,2,5,9,18,90,47,173,81,5,4,1,15,8,122,70,115,58
6554,0,1,11.0,5.25,1.3,2,3,5,10,21,83,41,162,71,7,2,1,26,10,143,70,78,32
6555,1,2,4.5,3.5,1.85,1,3,6,7,17,87,39,131,69,7,2,1,24,8,134,52,103,51
6556,3,2,2.6,3.0,3.0,4,3,3,11,6,104,54,107,57,2,5,3,12,12,120,64,112,50
6557,2,2,1.62,4.0,5.0,5,1,4,17,12,112,70,79,48,5,1,4,17,14,87,36,131,70
6558,3,1,1.91,3.8,3.6,3,2,5,9,20,101,47,122,49,2,0,8,8,19,108,44,116,57
6559,0,2,2.5,3.25,2.8,4,3,3,15,8,114,62,100,49,2,1,7,12,21,134,71,91,50
6560,2,2,1.25,5.75,11.0,8,2,0,21,6,119,70,95,47,4,3,3,9,11,122,58,122,69
6561,4,2,1.73,3.75,5.0,5,4,1,15,8,84,46,148,70,4,5,1,8,4,78,40,100,51
6562,1,2,9.5,5.25,1.33,4,1,5,12,14,99,50,96,56,7,2,1,34,9,144,72,101,52
6563,1,0,2.63,3.25,2.8,3,1,6,14,19,101,46,125,60,3,2,5,10,16,101,55,116,51
6564,1,0,1.57,4.33,6.25,6,3,1,13,4,107,53,144,76,2,1,7,9,20,115,64,115,57
6565,1,1,2.15,3.3,3.5,3,0,7,9,21,106,57,102,47,3,1,6,12,26,112,64,114,52
6566,2,5,1.91,3.5,4.2,2,7,1,12,10,111,62,118,63,5,2,3,15,13,99,48,109,53
6567,2,1,2.45,3.5,2.8,5,2,3,15,11,129,59,110,52,4,1,5,19,19,101,57,118,52
6568,2,1,1.3,5.25,9.5,5,1,4,17,12,108,69,77,47,2,2,6,7,16,99,52,144,64
6569,1,1,2.1,3.25,3.75,1,1,8,6,24,101,45,94,43,2,1,7,11,21,93,41,90,40
6570,2,2,1.75,3.8,5.25,5,5,0,20,10,131,77,105,57,6,2,2,17,10,123,52,126,72
6571,0,1,3.0,3.4,2.5,0,2,8,9,23,110,53,122,66,7,2,1,14,4,105,51,138,68
6572,0,2,2.7,3.5,2.7,3,3,4,19,15,132,71,115,67,3,4,3,13,12,126,67,123,76
6573,1,0,1.67,3.8,6.0,4,2,4,13,14,103,50,138,69,2,2,6,6,21,90,46,115,47
6574,1,2,2.4,3.25,3.3,2,2,6,5,10,99,47,135,73,3,2,5,10,16,99,55,107,54
6575,0,1,2.25,3.3,3.6,5,3,2,11,10,100,48,141,78,1,1,8,9,22,93,37,101,50
6576,5,1,2.6,3.0,3.0,2,1,7,10,18,93,40,98,53,3,3,4,12,14,96,53,106,49
6577,3,0,2.0,3.2,4.2,3,4,3,10,10,108,49,94,52,4,2,4,14,9,89,47,85,33
6578,1,0,1.91,3.3,4.5,4,3,3,9,10,98,55,94,49,1,3,6,8,14,105,52,102,54
